날짜,총 입도객,렌터카 가동률,전세버스 가동률,총 입도객_norm,렌터카 가동률_norm,전세버스 가동률_norm,관광 포화 지수,년,월,월_str
2024-07-01,1216963.0,72.9,15.5,0.8382704833682447,0.6029389841866903,0.19994342095567977,0.5470509628368716,2024,7,07월
2024-08-01,1299920.0,79.4,17.0,0.8954130624678389,0.9052203523903843,0.23816268428582246,0.679598699714682,2024,8,08월
2024-09-01,1145240.0,71.2,29.0,0.7888661268852452,0.5238807801949545,0.543916790926964,0.6188878993357212,2024,9,09월
2024-10-01,1205654.0,69.8,44.3,0.8304805991265616,0.45877402396646616,0.9337532768944194,0.7410026333291491,2024,10,10월
2024-11-01,1049112.0,67.6,28.2,0.7226510775984364,0.3564634070359851,0.5235331838175545,0.534215889483992,2024,11,11월
2024-12-01,1008336.0,69.4,13.7,0.6945636852703019,0.44017209361547005,0.1540803049595085,0.42960536128176013,2024,12,12월
2025-01-01,984715.0,63.5,9.0,0.6782930286540849,0.16579362093827044,0.034326613191728084,0.29280442092802783,2025,1,01월
2025-02-01,828602.0,60.8,9.4,0.5707590116214661,0.04023059106904325,0.04451841674643281,0.21850267314564742,2025,2,02월
2025-03-01,932935.0,60.1,22.7,0.6426258426929606,0.007677212954799728,0.3833958849403647,0.344566313529375,2025,3,03월
2025-04-01,1143910.0,68.3,39.6,0.7879499940670085,0.3890167851502291,0.8139995851266391,0.6636554547812922,2025,4,04월
2025-05-01,1252408.0,71.0,39.2,0.8626857673850862,0.5145798150194563,0.8038077815719343,0.7270244546588255,2025,5,05월
2025-06-01,1200051.0,74.0,27.2,0.8266211313216141,0.6540942926519304,0.4980536749307928,0.6595896996347791,2025,6,06월
2025-07-01,1312159.0,75.2,19.1,0.90384355086062,0.7099000837049205,0.2916696529480223,0.6351377625045209,2025,7,07월
2025-08-01,1329111.0,79.6,14.5,0.9155204557739645,0.9145213175658822,0.17446391206891795,0.6681685618029215,2025,8,08월
2025-09-01,1184626.725295253,69.29040820205644,31.47265709782765,0.815996556694158,0.4350755461345033,0.6069188794249782,0.6193303274178799,2025,9,09월
2025-10-01,1071034.79379797,68.24428064526158,42.751371365511375,0.7377519729862229,0.38642556626011304,0.8942949798396727,0.6728241730286696,2025,10,10월
2025-11-01,1082773.3626915924,65.95111418327468,28.451474061260896,0.7458377535896662,0.27978225923730937,0.5299406193962416,0.5185202107410724,2025,11,11월
2025-12-01,1167584.2769017667,67.46038367814546,12.68935375770043,0.8042573489675581,0.3499705742984842,0.12832953504746417,0.42751915277116886,2025,12,12월
2026-01-01,1451754.5638850783,63.56755291905646,7.652775713052973,0.9999999999999999,0.16893515767650724,0.0,0.38964505255883575,2026,1,01월
2026-02-01,60151.00536546894,60.158982175027084,8.17447217572226,0.041433315838523874,0.010420168734309954,0.013292569656774278,0.02171535140986937,2026,2,02월
2026-03-01,0.0,59.93491577895542,21.499994632867516,0.0,0.0,0.3528203375243507,0.11760677917478357,2026,3,03월
2026-04-01,0.0,69.17665609222068,40.21623962272954,0.0,0.4297855240733943,0.8297010680703509,0.4198288640479151,2026,4,04월
2026-05-01,0.0,72.92275406515397,37.87713664836478,0.0,0.6039971580246801,0.7701018730479733,0.4580330103575512,2026,5,05월
2026-06-01,0.0,75.5396750769753,28.766654044671817,0.0,0.7256966140145802,0.5379712505844897,0.4212226215330233,2026,6,06월
2026-07-01,0.0,77.12563415135133,21.303058926592893,0.0,0.7994513646172652,0.34780251244620575,0.38241795902115694,2026,7,07월
2026-08-01,0.0,81.43806047697707,12.88884089125929,0.0,1.0,0.13341236923977182,0.3778041230799239,2026,8,08월
2026-09-01,0.0,70.55827761466422,32.93995779625684,0.0,0.49403759240322564,0.6443049806101566,0.3794475243377941,2026,9,09월
2026-10-01,0.0,69.22311846320183,41.946713461299204,0.0,0.43194624854572794,0.8737926916184957,0.43524631338807457,2026,10,10월
2026-11-01,0.0,66.93266815822204,28.64519598788529,0.0,0.32542925593159566,0.5348765589472285,0.28676860495960804,2026,11,11월
2026-12-01,0.0,68.52835776110244,12.192004100012586,0.0,0.39963652306807207,0.11565731002457882,0.1717646110308836,2026,12,12월
