날짜,총 입도객,렌터카 가동률,전세버스 가동률,총 입도객_norm,렌터카 가동률_norm,전세버스 가동률_norm,관광 포화 지수,년,월,월_str,한라산 탐방객,한라산_norm,웰니스 쾌적도,골프장 내장객(도외),골프_norm,골프 쾌적도,쾌적도 라벨,웰니스 라벨,골프 라벨
2023-11-01,1078194.0,69.3,27.9,0.7426833893427666,0.4355216110277204,0.515889331151526,0.5646981105073376,2023,11,11월,80823.0,0.6194343958185837,0.5920662531629607,151751.0,0.8863532083877161,-0.3216550978803785,보통,보통,추천
2023-12-01,1023174.0,70.4,15.7,0.7047844211778176,0.4866769194929614,0.205039322733032,0.4655002211346037,2023,12,12월,72336.0,0.5221904540263371,0.49384533758047044,73850.0,0.2763767226919385,0.18912349844266518,보통,보통,비추천
2024-01-01,1054690.0,72.4,11.3,0.7264933248616877,0.5796865712479446,0.0929294836312802,0.4663697932469708,2024,1,01월,108442.0,0.935892558698289,0.70113117597263,48745.0,0.07980081643409204,0.3865689768128788,보통,약간 혼잡,혼잡
2024-02-01,1012661.0,70.9,11.6,0.6975428389837407,0.5099293324317071,0.1005733362973087,0.4360151692375855,2024,2,02월,68831.0,0.48203020706253086,0.4590226881500582,61410.0,0.17896966139547926,0.2570455078421062,보통,보통,혼잡
2024-03-01,1083836.0,70.8,25.1,0.7465697211927601,0.5052788498439575,0.444546706268593,0.5654650924351036,2024,3,03월,66632.0,0.4568340920629844,0.511149592249044,116843.0,0.6130183453863658,-0.047553252951262226,보통,보통,보통
2024-04-01,1234668.0,72.6,38.7,0.8504660709974782,0.588987536423442,0.7910680271285535,0.7435072115164912,2024,4,04월,76368.0,0.5683890605193663,0.6559481360179288,140183.0,0.7957740375615554,-0.05226682604506416,약간 혼잡,약간 혼잡,보통
2024-05-01,1267892.0,72.4,41.5,0.8733514820900311,0.5796865712479446,0.8624106520114865,0.7718162351164874,2024,5,05월,104923.0,0.8955718999063819,0.8336940675114346,153053.0,0.8965480631954323,-0.1247318280789449,약간 혼잡,매우 혼잡,보통
2024-06-01,1188378.0,73.0,24.9,0.8185805159928345,0.607589466774439,0.4394508044912406,0.6218735957528381,2024,6,06월,71397.0,0.5114314035558624,0.5666524996543503,121412.0,0.6487942990088353,-0.02692070325599727,약간 혼잡,보통,보통
2024-07-01,1216963.0,72.9,15.5,0.8382704833682447,0.6029389841866903,0.1999434209556797,0.5470509628368716,2024,7,07월,43489.0,0.19166188222464775,0.3693564225307597,80527.0,0.32865863171737736,0.21839233111949424,보통,쾌적,혼잡
2024-08-01,1299920.0,79.4,17.0,0.8954130624678389,0.9052203523903845,0.2381626842858224,0.679598699714682,2024,8,08월,54121.0,0.31348320767948057,0.4965409536970813,105471.0,0.5239738838860977,0.15562481582858434,약간 혼잡,보통,비추천
2024-09-01,1145240.0,71.2,29.0,0.7888661268852452,0.5238807801949545,0.543916790926964,0.6188878993357212,2024,9,09월,59275.0,0.3725376763960163,0.49571278786586875,113474.0,0.5866385713101783,0.03224932802554292,약간 혼잡,보통,비추천
2024-10-01,1205654.0,69.8,44.3,0.8304805991265616,0.4587740239664661,0.9337532768944194,0.7410026333291491,2024,10,10월,101378.0,0.8549533334337162,0.7979779833814327,148711.0,0.8625495535371346,-0.12154692020798552,약간 혼잡,약간 혼잡,보통
2024-11-01,1049112.0,67.6,28.2,0.7226510775984364,0.3564634070359851,0.5235331838175545,0.534215889483992,2024,11,11월,84256.0,0.6587696676664432,0.5964927785752177,132429.0,0.7350590573933282,-0.2008431679093362,보통,보통,추천
2024-12-01,1008336.0,69.4,13.7,0.6945636852703019,0.44017209361547,0.1540803049595085,0.4296053612817601,2024,12,12월,89567.0,0.719623040455252,0.574614200868506,84299.0,0.35819395609119115,0.07141140519056893,보통,보통,비추천
